id,response
STDT 1,"An astronaut's weight will be different on the moon than on earth because there is more gravity on earth and because of the force, your weight will increase. If you were on the moon, there would be less gravity so that will mean less force, which leads to less weight. "
STDT 4, A person's weight will change because the moon has less gravity than earth  
STDT 6," On Earth, your mass is measured in kilograms and your weight is measured in newtons Mass is the amount of matter in an object and weight is the force experienced by an object due to gravity. Since weight depends on mass and gravity. It only changes when you're  at a different location or place.  Since, there is less gravity on the moon then on earth the weight will be different. "
STDT 8," On the earth you weigh more because there is more gravity, but in space there is not as much gravity so you are not really held down by gravity so you weigh less. "
STDT 10,The moon has less gravity  
STDT 13,His weight is more heaver on earth  but when he on the moon it is mass 
STDT 18, It is diffrent in moon because there is no gravatation so you fly around because you have no gravity. 
STDT 21, on earthwe weigh more than on the moon because gravity their is little gravity on the moon and their is alot on earth 
STDT 23," The moon has less mass than the Earth, therefore our weight decreases if we are on the moon. "
STDT 24," When on Earth your gravitational force is different from when your on the moon. on Earth your gravitational force is greater than when your on the moon, making your weight on Earth more than your weight would be on the moon."
STDT 25," Because the mass of the astronaut is the same on both, but weight is actually a force and it depends on the acceleration due to gravity. On the moon the acceleration due to gravity is 1/6 of the Earth's so the astronaut's weight will be 1/6 lighter on the moon.  "
STDT 27, The weight change because there is no gravity in space . 
STDT 28, the astronaut weight is different on the moon because there is no gravity beacause the smallersize of the moon this mean the astronaut  weight will decrease one the moon and weight depends on mass and gravity. 
STDT 31," The weight on moon is pretty less than how it is on earth.There is a diffrence strength of gravity that's on the moon. The gravity forces that's on the moon is dertermine by the mass.Also,it dertermine by the size of the moon. ... Which will dertermine if you're mass will stay the same."
STDT 32,"The moon has less gravitational force than on earth. So even though the mass is the same, the weight is not. An astronaut would weigh less on the moon. "
STDT 33," The more gravity  it is the more  you will weigh .Also in space  you weight less then you do in Earth, because space has almost no gravity at all."
STDT 40,"The moon's gravity is less than Earth's so an astronauts weights less on the Earth, but his or her mass remains the same."
STDT 44,There both differnt because on earth we measure on killograms bu on the moon it go's down alot and it becomes alot differnt.
STDT 52, He (or she) would weigh less than you would on Earth than on the moon because the moon is smaler and it dose not have that much mass 
STDT 58, Are  weight  on  moon  is less  than  it would be on  Earth  threw to a difference of the strength of gravity on our  moon . The  moon's  gravitation force is determined by the  mass  and the size of the  moon. ;-----------------------; 
STDT 61,Astronaut when they go to the moon they flout then on the earth you walk on your two feet then the the sky period .
STDT 63,Our weight on moon is less than it would be on Earth due to a difference of the strength of gravity on the moon. The moon's gravitation force is determined by the mass and the size of the moon. 
STDT 65, beacuse the weight in moon is less that it would be on earth due to a difference of the force of gravity on the moon.  
STDT 69, Because weight is the force of gravity on an object and because there is less gravity on the moon' the astronaut will weigh less then on earth where there is more gravity.
STDT 70,Weight depends on gravity and depending on the gravitational force of your location the less gravity the less weight.On earth the astronaut and suit might weigh 200lbs but in space there is no gravity so you have lower or no weight at all. 
STDT 72,Astronauts weight is different on the moon. The weight on the moon decreases because there is less gravity on the moon and that affects the weight. the weight on the Earth increases because there is more gravity on the Earth.
STDT 74, on the moon the mass will not change because the mass doesnt depend on the gravitation . the weight will change  because of the force .  
STDT 76, The weight would be different since the earth is bigger than the moon. 
STDT 83,"the weight is different on the moon because on earth theres gravity but on the moon there isn't and as it says, Because weight is a measure of force, it requires an object to have both mass and gravity.  "
STDT 84," Astronauts weigh less on the moon because on the moon, there is less mass. Mass is one of the things that affect gravity. Another reason is that the moon is 60% less dense than Earth. Just think of it like this, when you're submerged in water you'll float, like an astronaut in space. I'm saying this because density is another thing that affects the gravitational pull. This is why astronauts weigh less in space. "
STDT 85, liter wait on the moon then the earth
STDT 89," It is different because on earth,the gravity is higher than on the moon."
STDT 95,An Astronaut weights different on the moon than on earth because the moon is smaller than the earth so the Gravity has less force on your body. 
STDT 97,An astronauts weight is different because the location isn't the same and the mass is different and the moons gravity is less. So the astronaut would weigh less.
STDT 99, On earth the gravity is bigger than on the moon in space. Earth works like a big magnet that attracts more objects than in space.  That is why we stay in place on Earth and in space we float.Even if you weigh alot you still float. Because the mass of the earth is so big it attracts more objects. 
STDT 101,"An astronaut's weight would be different on the moon because the moon does not have a very powerful gravitational pull. So whatever the astronaut weighed on Earth, he would weigh less on the moon because even though his mass is the same, there is less gravity pulling down on his mass, so his total weight is less. "
STDT 104," Because weight is the force of gravity on an object, the weight of an object increases in a location with more gravity and decreases in a place with less. For example, the moon's gravity is less than Earth's. So an astronaut weighs less on the moon than on Earth, but his or her mass remains the same."
STDT 106," Earth has gravity the moon has less gravity, because the earth has our normal earth weight and the moon let you flout in the air.earth lets us stay on the ground because earth has more gravity because earth has more objects which creates gravity. "
STDT 111," If there is more gravity in one place then the other, the area with the least gravity will make things weigh less. That is why astronaut's weigh less on the moon then on earth."
STDT 115,A astronaut's weight is different because the moon is smaller then the earth. The bigger the plant(or moon) the more gravity so your weight would be less.
STDT 118,The astronaut's weight is reduced on the moon because the Moon is smaller than Earth but the mass doesn't change like the weight. 
STDT 120," An astronauts weight would be different on the moon than it is on the earth because the moon has less gravity than Earth. Since Earth has more gravity, the astronaut's weight would be more than how it would be on the moon. "
STDT 129, I hate FLVS!!!   
STDT 133, the moon has less gravity. 
