student id,teacher id,assessment,question number,relative question number,question group,points possible,points earned,exam started,exam completed,is honors student,is honors exam,standard,lesson,question_stem,response,score in 3 point scale,cleaned_response
STDT 1,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2020-08-19 08:51:05,2020-08-19 09:10:18,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.","An astronaut's weight will be different on the moon than on earth because there is more gravity on earth and because of the force, your weight will increase. If you were on the moon, there would be less gravity so that will mean less force, which leads to less weight. ",2,"an astronaut's weight will be different on the moon than on earth because there is more gravity on earth and because of the force, your weight will increase. if you were on the moon, there would be less gravity so that will mean less force, which leads to less weight. "
STDT 4,TCH 1,01.01 Gravitational Law,65,19,7,4,3,2020-09-03 14:29:27,2020-09-03 14:35:53,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.", A person's weight will change because the moon has less gravity than earth  ,2, a person's weight will change because the moon has less gravity than earth  
STDT 6,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2020-10-06 13:42:21,2020-10-06 17:40:34,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth."," On Earth, your mass is measured in kilograms and your weight is measured in newtons Mass is the amount of matter in an object and weight is the force experienced by an object due to gravity. Since weight depends on mass and gravity. It only changes when you're  at a different location or place.  Since, there is less gravity on the moon then on earth the weight will be different. ",2," on earth, your mass is measured in kilograms and your weight is measured in newtons mass is the amount of matter in an object and weight is the force experienced by an object due to gravity. since weight depends on mass and gravity. it only changes when you are  at a different location or place.  since, there is less gravity on the moon then on earth the weight will be different. "
STDT 8,TCH 1,01.01 Gravitational Law,65,19,7,4,3,2020-09-24 10:50:51,2020-09-24 11:06:56,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth."," On the earth you weigh more because there is more gravity, but in space there is not as much gravity so you are not really held down by gravity so you weigh less. ",2," on the earth you weigh more because there is more gravity, but in space there is not as much gravity so you are not really held down by gravity so you weigh less. "
STDT 10,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2020-09-18 09:38:38,2020-09-18 09:42:06,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.",The moon has less gravity  ,2,the moon has less gravity  
STDT 13,TCH 1,01.01 Gravitational Law,65,19,7,4,0,2020-09-30 11:32:03,2020-09-30 13:15:21,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.",His weight is more heaver on earth  but when he on the moon it is mass ,0,his weight is more heaver on earth  but when he on the moon it is mass 
STDT 18,TCH 1,01.01 Gravitational Law,65,19,7,4,0,2020-09-11 09:18:19,2020-09-11 09:45:20,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.", It is diffrent in moon because there is no gravatation so you fly around because you have no gravity. ,0, it is diffrent in moon because there is no gravatation so you fly around because you have no gravity. 
STDT 21,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2020-09-18 10:39:17,2020-09-18 10:56:35,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.", on earthwe weigh more than on the moon because gravity their is little gravity on the moon and their is alot on earth ,2, on earthwe weigh more than on the moon because gravity their is little gravity on the moon and their is alot on earth 
STDT 23,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2020-11-10 13:00:21,2020-11-10 13:04:16,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth."," The moon has less mass than the Earth, therefore our weight decreases if we are on the moon. ",2," the moon has less mass than the earth, therefore our weight decreases if we are on the moon. "
STDT 24,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2020-08-10 13:37:14,2020-08-10 13:45:07,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth."," When on Earth your gravitational force is different from when your on the moon. on Earth your gravitational force is greater than when your on the moon, making your weight on Earth more than your weight would be on the moon.",2," when on earth your gravitational force is different from when your on the moon. on earth your gravitational force is greater than when your on the moon, making your weight on earth more than your weight would be on the moon."
